Postal Code,Municipality,Neighborhood,Latitude,Longitude,Area,Job_places,Population,Adult_population,Average_income_inhabitant,Median_income_inhabitant,Households_total,Average_size_household,Average_income_household,Median_income_household
00570,Helsinki,Kulosaari,60.183889051724229,25.005501090517235,1796540,1138,3962,3126,42098,27300,1928,2.0,70079,41728
00580,Helsinki,Verkkosaari,60.1914915457413,24.973429305993683,1292602,7110,2727,2245,26424,24472,1340,2.0,43843,37928
00590,Helsinki,Kaitalahti,60.172493450000005,25.023412254761912,1821381,43,904,611,33122,26873,435,2.1,57281,42472
00600,Helsinki,Koskela-Helsinki,60.219728999999944,24.962699672093017,949209,1341,4147,3481,21901,18418,1985,1.9,35685,26914
00610,Helsinki,Käpylä,60.2124251012483,24.947519603328715,2173242,4080,8249,6696,25743,23922,4340,1.8,39245,32341
00620,Helsinki,Metsälä-Etelä-Oulunkylä,60.223590239024425,24.942005596747961,2244049,6355,3349,2718,29222,25239,1546,2.0,49624,39594
00630,Helsinki,Maunula-Suursuo,60.232470952631573,24.929387459210567,2513374,1451,8383,6833,23748,21064,4685,1.8,34982,26711
00640,Helsinki,Oulunkylä-Patola,60.233056544431975,24.962726281214884,2259873,1965,8171,6711,26497,23507,4268,1.9,41852,33307
00650,Helsinki,Veräjämäki,60.227816347295011,24.973774898778384,1631932,553,4315,3302,28143,24733,1997,2.1,47241,36668
00660,Helsinki,Länsi-Pakila,60.241780859005324,24.929870764365045,2559655,1237,6702,5215,35216,29491,2629,2.5,69271,60487
00670,Helsinki,Paloheinä,60.2515526801242,24.932537598757797,3040959,601,6025,4512,36444,31435,2250,2.7,72828,65611
00680,Helsinki,Itä-Pakila,60.245443035223367,24.956031506872844,2257775,901,3695,2786,33403,29179,1417,2.5,66011,57451
00690,Helsinki,Tuomarinkylä-Torpparinmäki,60.264097778315552,24.952927400774435,4620529,350,2761,2021,30266,26972,1075,2.6,57578,50467
00700,Helsinki,Malmi,60.251886607429121,25.017532712536866,6479126,10094,13271,10925,22695,21092,7012,1.9,35339,28728
00710,Helsinki,Pihlajamäki,60.232689399014774,25.005755018062402,2823097,1334,12710,10350,22323,21284,6853,1.9,34394,29290
00720,Helsinki,Pukinmäki-Savela,60.244768805031462,24.991268562264143,2088327,1746,8574,7110,22734,21474,4537,1.9,35776,30122
00730,Helsinki,Tapanila,60.266350090851148,25.0207616743964,3623273,1294,11226,8819,27406,25277,5141,2.2,47271,40115
00740,Helsinki,Siltamäki,60.274338373504676,24.997530271156403,3565185,1097,10347,8057,24432,22601,4535,2.3,43915,38513
00750,Helsinki,Puistola,60.279495409784523,25.033146092010831,3031850,2255,9629,7543,23957,22464,4450,2.1,41171,34692
00760,Helsinki,Suurmetsä,60.271082035322841,25.059642386926459,3363242,1314,7672,5853,28636,26486,3044,2.5,55515,51679
00770,Helsinki,Jakomäki - Alppikylä,60.258468458479527,25.067896143859652,3546000,1920,7289,5372,20528,19672,3640,2.0,32887,28114
00780,Helsinki,Tapaninvainio,60.258394774634034,24.988185148292693,2282750,631,7079,5809,28004,24916,3195,2.2,50167,43795
00790,Helsinki,Viikki,60.229460386519968,25.031490370013767,3725157,4365,11039,8198,23712,22817,5095,2.1,38883,33540
00800,Helsinki,Länsi-Herttoniemi,60.208204823321623,25.040390113074182,3047913,1120,7190,5928,24261,21527,4158,1.7,35793,27757
00810,Helsinki,Herttoniemi,60.190776554435537,25.033632979838689,2446289,3379,11578,9368,25751,23694,5982,1.9,40354,33402
00820,Helsinki,Roihuvuori,60.200830899193548,25.059998870967746,1295254,1005,7265,6014,21884,20512,4115,1.7,31939,26657
00830,Helsinki,Tammisalo,60.190092527827638,25.064065757630146,1599520,149,2243,1741,59820,31939,915,2.4,112844,62909
00840,Helsinki,Laajasalo,60.178045878816789,25.052331899809126,3013995,792,8206,6716,29092,25058,4210,1.9,47344,37374
00850,Helsinki,Jollas,60.162943148260119,25.079281406959108,4156916,303,3144,2302,40429,29704,1189,2.6,79294,61500
00860,Helsinki,Santahamina,60.144981424892705,25.044479815450629,6393082,776,395,283,27895,28594,154,2.5,49349,47576
00870,Helsinki,Etelä-Laajasalo,60.16429698872183,25.047212187969905,1407889,341,6211,4644,23958,21802,3163,2.0,37340,30256
00880,Helsinki,Roihupellon teollisuusalue,60.203051914666666,25.047306349333319,1596428,6982,719,638,24366,22066,426,1.7,37578,32155
00890,Helsinki,Östersundom,60.260557728801807,25.201976648213023,27345953,421,2007,1467,49234,29265,668,3.0,109421,74227
00900,Helsinki,Puotinharju,60.215591252173951,25.086073482608704,1169003,1083,4248,3566,21462,19900,2376,1.8,32266,26846
00910,Helsinki,Puotila,60.213230994134946,25.101776577712638,1118992,710,6183,5162,22420,20959,3445,1.7,32669,27534
00920,Helsinki,Myllypuro,60.223246599328689,25.067162548993306,3573373,1667,13019,10020,23493,21809,6206,2.1,38821,32697
00930,Helsinki,Itäkeskus-Marjaniemi,60.203855196412505,25.084735994618828,2034415,4310,6830,5428,27443,21077,3296,2.1,45663,31118
00940,Helsinki,Kontula - Vesala,60.237785708481432,25.083127936008164,5733170,3278,26173,20873,20403,19324,12957,2.0,32976,27652
00950,Helsinki,Vartioharju,60.222211102157665,25.1063928159401,3135342,1081,5967,4593,30494,26198,2527,2.3,57355,49186
00960,Helsinki,Pohjois-Vuosaari,60.220322653465345,25.140830532673284,2504021,406,7201,5924,23547,22200,3816,1.9,36658,30649
00970,Helsinki,Mellunmäki,60.234378634790509,25.114551838797851,3453709,755,10628,8769,21999,20954,5601,1.9,34817,29396
00980,Helsinki,Etelä-Vuosaari,60.204975999130475,25.132575115217406,10710384,5054,23055,17654,22537,20968,11381,2.0,36133,29967
00990,Helsinki,Aurinkolahti,60.209778654088041,25.162426628930827,2565419,994,8398,6732,28398,24894,4341,1.9,45117,37555
01120,Sipoo,Västerskog,60.240719978260771,25.277408504830934,24999344,258,1420,1087,31902,25040,563,2.5,63315,51621
01150,Sipoo,Söderkulla,60.285650915974507,25.331768214215934,48542566,1446,5747,4098,31248,26536,2371,2.4,55968,46834
01180,Porvoo,Kalkkiranta,60.224843857324721,25.428342168152852,16962601,46,466,362,29887,24847,192,2.4,58353,48655
01190,Sipoo,Box,60.309169566287913,25.394915274621194,32270791,120,1020,780,27241,25418,406,2.5,53152,47815
01200,Vantaa,Hakunila,60.2804641576543,25.125009969535395,19485593,2684,11967,9264,22112,21052,5791,2.1,35424,29446
01230,Vantaa,Vaarala,60.265660093457925,25.095511429906523,3365938,1828,2981,2363,26426,25368,1327,2.2,48064,44858
01260,Vantaa,Itä-Hakkila,60.297078161290329,25.1181609990371,8390811,2055,4839,3617,29220,25773,1853,2.6,58076,51123
01280,Vantaa,Länsimäki,60.248369182640175,25.100651040687183,3500238,783,9620,7695,23498,22558,4581,2.1,39632,34588
01300,Vantaa,Tikkurila,60.294919661989404,25.022135945109365,6007207,12053,19509,15797,25420,23363,10404,1.9,40230,33558
01340,Vantaa,Leinelä,60.324529240740759,25.040433888888895,150157,35,1141,684,22482,21856,668,1.7,33951,30649
01350,Vantaa,Hiekkaharju,60.308534615668982,25.036055489283129,2811048,985,10255,7913,24694,23118,5187,2.0,39537,32708
01360,Vantaa,Koivukylä-Havukoski,60.320036772277227,25.061626648964907,5844793,1631,12578,10348,21398,20166,6602,1.9,33536,27760
